,magnitude,depth
0,3.0,0.0
1,2.8,0.9
2,2.6,120.0
3,2.75,9.79
4,3.7,26.6
5,4.2,35.0
6,2.56,108.0
7,6.0,54.4
8,5.0,10.0
9,2.7,6.7
10,5.0,10.0
11,4.1,37.2
12,4.5,10.0
13,2.8,29.6
14,2.87,102.0
15,3.3,0.0
16,2.76,10.0
17,3.04,54.0
18,5.2,10.0
19,3.43,75.0
20,3.35,30.0
21,3.1,0.0
22,2.72,11.0
23,4.4,107.82
24,5.4,10.0
25,4.3,10.0
26,2.6,9.2
27,3.11,45.0
28,3.28,103.0
29,2.7,20.3
30,3.3,0.1
31,4.6,10.0
32,4.8,135.7
33,2.8,5.2
34,3.46,89.0
35,3.04,113.0
36,4.9,128.23
37,4.4,10.0
38,2.5,9.6
39,2.9,0.0
40,4.7,167.37
41,5.7,20.8
42,4.5,42.52
43,3.3,0.0
44,3.0,6.23
45,5.7,17.0
46,5.5,10.0
47,3.22,86.0
48,2.8,7.54
49,2.67,32.58
50,4.9,10.0
51,2.7,41.3
52,4.8,47.15
53,2.5,3.42
54,4.8,10.0
55,4.7,10.0
56,5.1,40.96
57,4.8,10.0
58,2.8,0.2
59,4.6,101.69
60,3.2,1.9
61,2.57,14.38
62,3.3,45.3
63,4.4,10.0
64,4.4,66.86
65,3.36,51.0
66,5.0,110.77
67,2.7,0.0
68,4.4,15.9
69,3.03,32.0
70,2.7,5.0
71,5.2,61.46
72,2.65,33.0
73,4.9,10.0
74,4.9,10.0
75,2.94,68.0
76,2.64,48.0
77,2.9,10.0
78,5.0,35.0
79,2.9,3.4
80,3.05,46.0
81,2.7,32.9
82,2.97,8.0
83,5.0,44.04
84,2.9,0.0
85,3.0,7.61
86,2.5,4.75
87,2.7,13.36
88,3.1,13.4
89,2.6,5.4
90,3.3,24.4
91,5.1,10.0
92,4.5,10.0
93,5.2,9.3
94,4.7,10.0
95,2.5,5.0
96,5.7,7.09
97,5.0,10.0
98,5.0,8.28
99,4.9,63.0
100,2.8,12.0
101,5.6,129.13
102,4.0,54.54
103,2.6,5.0
104,2.7,0.0
105,2.5,36.1
106,4.7,10.0
107,2.9,10.0
108,5.0,10.0
109,6.4,29.0
110,2.99,109.0
111,5.1,48.12
112,4.3,10.0
113,2.7,14.2
114,4.1,33.68
115,4.3,10.0
116,4.7,51.42
117,2.5,18.7
118,2.64,10.0
119,5.6,10.0
120,2.8,73.8
121,2.99,99.0
122,3.17,94.0
123,3.42,83.0
124,4.7,10.0
125,5.3,10.0
126,2.45,23.0
127,3.3,91.3
128,4.5,46.57
129,3.27,112.0
130,3.3,38.8
131,2.89,87.0
132,5.7,17.86
133,4.4,57.15
134,3.0,10.0
135,2.96,70.0
136,4.8,10.0
137,2.7,12.7
138,4.9,35.0
139,3.37,17.07
140,2.93,122.0
141,4.8,42.11
142,3.15,78.0
143,4.5,506.62
144,4.6,62.46
145,2.66,40.0
146,4.2,65.28
147,4.1,5.0
148,4.4,10.69
149,5.4,22.68
150,4.4,120.05
151,3.4,1.9
152,4.2,35.0
153,3.5,20.01
154,4.8,39.81
155,5.1,37.11
156,4.8,35.0
157,2.9,1.8
158,2.8,149.1
159,2.55,10.24
160,4.0,406.74
161,2.51,7.46
162,3.8,43.27
163,2.46,59.0
164,4.6,35.0
165,2.72,84.0
166,2.87,38.0
167,2.9,8.4
168,2.6,11.2
169,2.8,0.0
170,4.5,10.0
171,2.6,2.24
172,2.75,8.55
173,4.4,10.0
174,4.5,10.0
175,2.9,0.0
176,2.9,5.0
177,2.5,13.2
178,4.8,37.17
179,4.49,0.76
180,3.32,6.01
181,4.4,65.0
182,4.2,10.0
183,4.4,73.44
184,4.6,10.0
185,3.8,5.0
186,4.8,10.0
187,4.5,38.92
188,5.9,10.0
189,2.7,5.0
190,2.61,15.59
191,4.4,44.05
192,4.8,103.59
193,4.0,66.25
194,2.71,10.0
195,2.52,-0.45
196,3.44,33.0
197,3.43,72.0
198,2.97,61.0
199,4.6,10.0
200,2.89,7.0
201,2.8,5.0
202,4.6,10.0
203,2.5,5.0
204,2.8,5.7
205,2.6,0.1
206,3.38,60.0
207,2.9,58.0
208,2.59,5.74
209,4.4,231.68
210,4.6,79.92
211,4.2,76.64
212,2.98,6.53
213,2.54,74.0
214,2.82,23.4
215,4.9,66.28
216,3.09,3.43
217,4.2,16.58
218,2.9,0.5
219,4.9,10.0
220,5.4,10.0
221,2.8,20.91
222,2.8,0.0
223,3.4,19.76
224,2.5,14.0
225,2.7,2.2
226,4.3,152.27
227,2.58,48.0
228,4.5,16.49
229,3.8,89.43
230,2.48,12.66
231,2.73,9.21
232,2.8,35.7
233,4.5,10.0
234,2.85,6.09
235,4.3,35.0
236,4.2,208.06
237,4.4,34.91
238,2.5,184.9
239,2.71,98.0
240,3.5,10.0
241,3.2,38.0
242,4.6,270.45
243,2.6,0.0
244,4.5,230.03
245,2.87,10.24
246,4.5,62.57
247,5.5,10.9
248,2.5,5.44
249,5.6,14.75
250,2.5,13.49
251,4.9,121.54
252,2.99,57.0
253,5.3,10.0
254,2.7,15.3
255,2.58,67.0
256,4.1,10.0
257,4.8,10.0
258,4.3,10.0
259,2.8,53.2
260,2.8,5.0
261,3.06,12.0
262,2.84,24.65
263,4.3,10.0
264,2.94,24.0
265,2.7,19.89
266,3.1,34.91
267,2.82,42.0
268,4.6,165.11
269,4.5,10.0
270,2.9,0.0
271,4.9,10.0
272,3.79,19.5
273,2.49,8.0
274,3.35,31.0
275,6.0,10.0
276,2.57,6.96
277,5.2,69.04
278,2.61,8.94
279,2.93,19.0
280,3.9,35.0
281,2.5,10.0
282,3.2,32.4
283,4.5,10.0
284,2.8,10.0
285,3.1,0.0
286,4.8,12.12
287,2.78,4.0
288,4.6,558.63
289,4.8,507.97
290,5.2,13.56
291,2.47,4.89
292,3.2,7.96
293,3.7,10.0
294,4.4,42.55
295,4.6,99.41
